Waf: Entering directory `/Users/morgantrench/Desktop/ns-allinone-3.25/ns-3.25/build'
Waf: Leaving directory `/Users/morgantrench/Desktop/ns-allinone-3.25/ns-3.25/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (2.669s)
123,	3.072 kbps, 	4.83061 average kbps, 
124,	2.048 kbps, 	4.71467 average kbps, 
125,	2.56 kbps, 	4.62848 average kbps, 
126,	3.072 kbps, 	4.56862 average kbps, 
127,	4.096 kbps, 	4.55111 average kbps, 
128,	6.144 kbps, 	4.608 average kbps, 
129,	8.192 kbps, 	4.73159 average kbps, 
130,	8.192 kbps, 	4.84693 average kbps, 
131,	7.68 kbps, 	4.93832 average kbps, 
132,	7.168 kbps, 	5.008 average kbps, 
133,	6.144 kbps, 	5.04242 average kbps, 
134,	6.144 kbps, 	5.07482 average kbps, 
135,	7.168 kbps, 	5.13463 average kbps, 
136,	8.192 kbps, 	5.21956 average kbps, 
137,	7.68 kbps, 	5.28605 average kbps, 
138,	5.12 kbps, 	5.28168 average kbps, 
139,	3.584 kbps, 	5.23815 average kbps, 
140,	4.096 kbps, 	5.2096 average kbps, 
141,	4.608 kbps, 	5.19493 average kbps, 
142,	6.144 kbps, 	5.21752 average kbps, 
143,	7.168 kbps, 	5.26288 average kbps, 
144,	8.192 kbps, 	5.32945 average kbps, 
145,	6.656 kbps, 	5.35893 average kbps, 
146,	7.68 kbps, 	5.40939 average kbps, 
147,	11.264 kbps, 	5.53396 average kbps, 
148,	12.8 kbps, 	5.68533 average kbps, 
149,	8.704 kbps, 	5.74694 average kbps, 
150,	6.656 kbps, 	5.76512 average kbps, 
151,	7.68 kbps, 	5.80267 average kbps, 
152,	6.656 kbps, 	5.81908 average kbps, 
153,	5.632 kbps, 	5.81555 average kbps, 
154,	3.584 kbps, 	5.77422 average kbps, 
155,	7.68 kbps, 	5.80887 average kbps, 
156,	7.68 kbps, 	5.84229 average kbps, 
157,	10.752 kbps, 	5.92842 average kbps, 
158,	12.288 kbps, 	6.03807 average kbps, 
159,	8.704 kbps, 	6.08325 average kbps, 
160,	6.656 kbps, 	6.0928 average kbps, 
161,	5.12 kbps, 	6.07685 average kbps, 
162,	4.608 kbps, 	6.05316 average kbps, 
163,	5.632 kbps, 	6.04648 average kbps, 
164,	4.608 kbps, 	6.024 average kbps, 
165,	6.656 kbps, 	6.03372 average kbps, 
166,	6.144 kbps, 	6.03539 average kbps, 
167,	7.68 kbps, 	6.05994 average kbps, 
168,	7.68 kbps, 	6.08376 average kbps, 
169,	8.704 kbps, 	6.12174 average kbps, 
170,	9.728 kbps, 	6.17326 average kbps, 
171,	8.192 kbps, 	6.20169 average kbps, 
172,	6.144 kbps, 	6.20089 average kbps, 
173,	7.168 kbps, 	6.21414 average kbps, 
174,	7.68 kbps, 	6.23395 average kbps, 
175,	4.096 kbps, 	6.20544 average kbps, 
176,	6.144 kbps, 	6.20463 average kbps, 
177,	5.632 kbps, 	6.19719 average kbps, 
178,	4.608 kbps, 	6.17682 average kbps, 
179,	6.144 kbps, 	6.17641 average kbps, 
180,	6.144 kbps, 	6.176 average kbps, 
181,	4.608 kbps, 	6.15664 average kbps, 
182,	6.656 kbps, 	6.16273 average kbps, 
183,	6.144 kbps, 	6.16251 average kbps, 
184,	6.144 kbps, 	6.16229 average kbps, 
185,	6.144 kbps, 	6.16207 average kbps, 
186,	6.144 kbps, 	6.16186 average kbps, 
187,	6.144 kbps, 	6.16166 average kbps, 
188,	6.144 kbps, 	6.16145 average kbps, 
189,	6.144 kbps, 	6.16126 average kbps, 
190,	6.144 kbps, 	6.16107 average kbps, 
191,	6.144 kbps, 	6.16088 average kbps, 
192,	6.144 kbps, 	6.1607 average kbps, 
193,	6.144 kbps, 	6.16052 average kbps, 
194,	6.144 kbps, 	6.16034 average kbps, 
195,	6.144 kbps, 	6.16017 average kbps, 
196,	6.144 kbps, 	6.16 average kbps, 
197,	6.144 kbps, 	6.15984 average kbps, 
198,	6.144 kbps, 	6.15967 average kbps, 
199,	6.144 kbps, 	6.15952 average kbps, 
